query,ground_truth_answer,traditional_faithfulness,traditional_answer_relevancy,traditional_context_recall,traditional_context_precision,traditional_entity_recall,modified_faithfulness,modified_answer_relevancy,modified_context_recall,modified_context_precision,modified_entity_recall
What group did China want along the relay route in Canberra?,People's Liberation Army,0.669820547,0.790554345,1,0.117647059,0,0.600462914,0.616631866,1,0.117647059,0
Who was given permission to search attendees of the relay?,Australian police,0.288606167,0.071898177,0,0,1,0.188962325,0.128897205,0,0,1
Who said that thousands of pro-Beijing supporters would be bused in?,Tony Goh,0.448989481,0.44822365,0,0,0,0.621536255,0.67369771,0,0,0
"Who told the media that Chinese diplomats were arranging a ""peaceful show of strength""?",Zhang Rongan,0.545585036,0.685731053,1,0.0625,0,0.545585036,0.685731053,1,0.066666667,0
Who was the Foreign Minister who indicated Chinese officials wanted supporting demonstrators to show up and show their point of view?,Stephen Smith,0.080753922,0.075194657,1,0.083333333,1,0.267514765,0.286168754,1,0.083333333,1
Who withdrew as a torchbearer because of her concerns about human rights?,Lin Hatfield Dodds,0.464543521,0.729773164,0,0,0,0.16051954,0.155392393,0,0,0
Who said Dodds' withdrawal was a good example of peacefully protesting?,Foreign Minister Stephen Smith,0.487423867,0.805314243,0,0,0,0.440153718,0.820891082,0,0,0
Who withdrew from the torch event?,Lin Hatfield Dodds,0.58288002,0.775019944,0,0,0,0.338546634,0.092947125,0,0,1
Who was the foreign minister that said her decision was a good example of peacefully making a point?,Stephen Smith,0.398126125,0.689278007,0,0,1,0.329521805,0.310268462,0,0,1
Who was the head of the Canberra torch relay committee?,Ted Quinlan,0.563609958,0.856873274,1,0.071428571,1,0.184403151,0.275758386,0,0,1
How many supporters of Tibet were expected in Canberra to protest?,600,0.128249288,0.2938658,1,0.083333333,0,0.513162374,0.5481112,1,0.083333333,0
ACT Chief Minister Jon Stanhope said which organization intended to ensure that China supporters outweighed Tibet supporters?,the Chinese embassy,0.497558504,0.721660554,0,0,1,0.599089086,0.683470488,0,0,1
Which athlete carried the torch for the final leg?,Ian Thorpe,0.738513231,0.668269634,0,0,0,0.505961776,0.733914018,0,0,0
How many supporters of Tibet were expected to attend the torch relay?,Up to 600,0.074244037,0.095673256,1,0.052631579,0,0.564989984,0.237361342,0,0,1
It was thought that how many Chinese supporters would attend the torch relay?,"between 2,000 and 10,000",0.121213362,0.144593954,1,0.083333333,1,0.363779277,0.19335115,1,0.125,1
Who did not expect that reaction from the Chinese community?,Ted Quinlan,0.606027603,0.896852374,1,0.090909091,0,0.597852349,0.897899747,1,0.090909091,0
Who was involved to ensure the pro Chinese demonstrators outweighed the Tibetan demonstrators?,the Chinese embassy,0.602510452,0.736303449,1,0.133333333,1,0.322431684,0.213456303,0.5,0.166666667,1
Who hosted the 1998 Winter Olympics?,Nagano,0.547148407,0.809763551,0.5,0.038461538,1,0.546248198,0.788450658,0.5,0.038461538,1
When did the torch arrive in Nagano?,Apr-26,0.616503239,0.902070403,1,0.045454545,1,0.651661932,0.891720772,1,0.045454545,1
Where was the torch relay held in Japan?,Nagano,0.729314744,0.868164897,1,0.038461538,1,0.563177824,0.87211448,0,0,0
Which Olympics did Nagano host?,1998 Winter Olympics,0.58526051,0.793571591,1,0.153846154,0.5,0.595272601,0.819205105,1,0.153846154,0.5
What location was supposed to be the start of the relay event in Nagano?,Japanese Buddhist temple Zenkō-ji,0.77561903,0.549264669,1,0.052631579,1,0.764525294,0.590941548,1,0.052631579,1
"When monks pulled out of the event, where was the new starting point for the relay?",a municipal building,0.505202651,0.563337326,0,0,0,0.505202651,0.563337326,0,0,0
How many Chinese guards were allowed to go with the torch?,two,0.127829045,0.252779812,1,0.058823529,0,0.230036318,0.277014881,1,0.2,0
Where was the torch relay event held in South Korea?,Seoul,0.75302434,0.826335251,0,0,0,0.416038156,0.539668143,0,0,1
When did Seoul host the Olympics?,1988 Summer Olympics,0.586384296,0.806942582,0.5,0.038461538,0.5,0.532586634,0.2471385,0,0,0.5
Where was the start point for the relay?,Olympic Park,0.616716683,0.702886045,0,0,0,0.35762006,0.170945108,0,0,0
Who became violent during the relay route and was promised deportation when caught?,Chinese students,0.603557587,0.789835095,0,0,1,0.489251733,0.687335551,0,0,1
Where was the relay event held in South Korea?,Seoul,0.64201057,0.813265026,0,0,1,0.628476858,0.75858146,0,0,1
Which Olympics did Seoul host?,1988 Summer Olympics,0.554756284,0.726660967,1,0.074074074,1,0.546119869,0.169600308,0,0,0.5
When did the torch arrive in Pyongyang?,Apr-28,0.61723119,0.888771176,1,0.04,1,0.61723119,0.888771176,1,0.04,1
Who presided over the torch event in North Korea?,Kim Yong Nam,0.465691388,0.486675918,1,0.037037037,0,0.729552209,0.891807199,1,0.037037037,0
Who was the first torchbearer in North Korea?,Pak Du Ik,0.718486667,0.811902523,1,0.08,1,0.641411901,0.826958895,1,0.08,1
Where did the relay start?,the Juche Tower,0.637737036,0.790448129,0,0,0,0.720610738,0.79468596,0,0,0
Where was the relay event held in North Korea?,Pyongyang.,0.690579355,0.922510147,1,0.041666667,1,0.438875198,0.922510147,0,0,1
What date did the torch relay event take place?,April 28.,0.388954282,0.394173384,0,0,0,0.704730868,0.852572978,0,0,0
What did people in the crowd wave at the beginning of the relay?,pink paper flowers and small flags,0.510925353,0.580840409,0,0,0,0.250154346,0.872561574,0,0,0
Who was the first runner with the torch?,Pak Du Ik,0.223751888,0.280755818,1,0.047619048,0,0.194844753,0.302336991,1,0.047619048,0
The United Nations Organization and UNICEF felt the relay could be used as what?,a propaganda stunt.,0.574798048,0.8070032,1,0.153846154,0,0.70230335,0.784893572,1,0.153846154,0
North Korea is often listed among the worst offenders in the world in what regard?,against human rights.,0.420782775,0.859149218,1,0.058823529,0,0.392079473,0.846759379,1,0.058823529,0
What is the children's agency of the United Nations Organization?,UNICEF,0.339994639,0.58942157,1,0.045454545,1,0.581560969,0.294564754,1,0.045454545,1
Both organizations withdrew what?,their staff,0.541347504,0.641768396,0,0,0,0.444566578,0.807688713,0,0,0
What is the mission of the organizations?,raising awareness of conditions for children,0.664425492,0.623574674,0,0,0,0.696060777,0.519012809,0,0,0
Who is often listed amongst the world's worst offenders when it comes to human rights?,North Korea,0.475984365,0.295841515,0,0,1,0.475984365,0.295841515,0,0,1
When did the torch arrive in Vietnam?,Apr-29,0.659025431,0.84831661,1,0.034482759,1,0.160065442,0.211100787,1,0.034482759,1
Where was the torch event held in Vietnam?,Ho Chi Minh City,0.708998203,0.7867015,1,0.032258065,1,0.775976241,0.898085713,0,0,1
How many torchbearers carried the torch in Vietnam?,60,0.097795278,0.2309957,1,0.037037037,0,0.309090942,0.2309957,0,0,1
Where did the torch event begin in Vietnam?,the downtown Opera House,0.728013933,0.879701734,1,0.032258065,1,0.704024792,0.838986754,1,0.032258065,1
Where did the torch event end?,the Military Zone 7 Competition Hall stadium,0.587107539,0.718022585,0,0,0,0.599352121,0.801095486,0,0,0
Where was the torch event held in Vietnam?,Ho Chi Minh City.,0.730704427,0.863369346,1,0.032258065,1,0.734788537,0.62176317,0,0,1
What areas are involved in the dispute between Vietnam and China?,the Spratly and Paracel Islands,0.54575026,0.680582881,1,0.090909091,1,0.852644801,0.752637267,1,0.333333333,1
The Chinese government established what city in this disputed area?,Sansha,0.45048514,0.586542368,1,0.0625,0,0.9226529,0.619415283,1,0.166666667,0
"As a result, demonstrations were held in what two cities in December 2007?",Hanoi and Ho Chi Minh City.,0.223469406,0.259179175,0,0,0.5,0.308330923,0.269536167,0,0,0.5
Who was the Prime Minister of Vietnam?,Nguyễn Tấn Dũng,0.489873022,0.667037845,0,0,0,0.489873022,0.667037845,0,0,0
How many people protesting China were arrested in Hanoi prior to the rally?,seven,0.752529025,0.847974539,1,0.111111111,1,0.254689157,0.130997628,0,0,1
Which blogger calling for demonstrations was arrested for tax evasion?,Điếu Cày,0.484188735,0.930793047,0,0,0,0.637926996,0.460455418,0,0,0
Which torchbearer sent a letter of protest to the president of the International Olympic Committee?,Lê Minh Phiếu,0.230218679,0.092448995,1,0.047619048,0,0.230218679,0.092448995,1,0.047619048,0
How many protesters were arrested in Hanoi prior to the rally?,seven,0.066809826,0.246112794,1,0.055555556,1,0.185585469,0.296037257,0,0,1
What is blogger Điếu Cày's real name?,Nguyễn Văn Hải,0.465037316,0.824439049,0,0,0,0.461719096,0.822935104,0,0,0
"Though he urged for demonstrations in Vietnam, Nguyễn Văn Hải was charged with what crime?",tax evasion.,0.445331126,0.755055189,1,0.05,0,0.445331126,0.755055189,1,0.05,0
What is the name of the torchbearer who wrote a letter to the IOC president about discrepancies on a website?,Lê Minh Phiếu,0.641980767,0.837575436,1,0.055555556,0,0.641980767,0.837575436,1,0.055555556,0
What was removed from the website that Lê Minh Phiếu had written about?,disputed islands and dotted lines marking China's maritime claims,0.62872225,0.639474869,0,0,0,0.501129091,0.84305197,0,0,0
When did the torch arrive in Hong Kong?,May-02,0.710556388,0.903982639,1,0.045454545,1,0.711360276,0.888080001,1,0.045454545,1
Who was the first torchbearer in Hong Kong?,Lee Lai Shan,0.703524947,0.806312263,1,0.083333333,1,0.448589563,0.388968319,1,0.083333333,1
Where was the torch event started in Hong Kong?,Hong Kong Cultural Centre,0.737810612,0.852989316,1,0.037037037,0,0.729592323,0.859157085,1,0.037037037,0
Where did the torch relay end in Hong Kong?,Golden Bauhinia Square in Wan Chai,0.716606855,0.84766078,1,0.041666667,0,0.716606855,0.84766078,1,0.041666667,0
How many torchbearers participated in the relay event in Hong Kong?,120,0.053210132,0.194401205,1,0.047619048,1,0.741283894,0.923268676,1,0.047619048,1
When was the relay event held in Hong Kong?,May 2.,0.665730596,0.90233773,1,0.047619048,1,0.697419524,0.939900637,1,0.047619048,1
"Who handed the torch to Lee Lai Shan, the first torchbearer?",Donald Tsang,0.613269806,0.77923286,1,0.066666667,1,0.237593636,0.216825664,1,0.066666667,1
What was used to get the torch across the Shing Mun River?,a dragon boat,0.12432941,0.311873794,0,0,0,0.572758198,0.837507725,0,0,0
How many torchbearers carried the torch?,120,0.620201349,0.745761156,0,0,1,0.360940158,0.285832345,0,0,0
"The torchbearers included athletes, celebrities and who?",pro-Beijing camp politicians.,0.303803116,0.503079772,0,0,0,0.185940921,0.510531187,0,0,0
What did Hong Kong Alliance in Support of Patriotic Democratic Movements in China members wave to symbolize democracy?,plastic Olympic flames,0.636307359,0.613433838,0.666666667,0.111111111,1,0.693025112,0.398205459,0,0,1
This group wanted accountability for what 1989 event?,Tiananmen Square protests,0.395198822,0.66843766,0,0,0,0.395198822,0.66843766,0,0,0
Who wrapped a Tibetan flag around her body and later waved it?,Christina Chan,0.107555948,0.178247526,1,0.066666667,0,0.107555948,0.178247526,1,0.066666667,0
Who removed Chan from the protest?,police,0.57051456,0.499772161,1,0.045454545,0,0.760561347,0.849741101,1,0.333333333,0
Why is Chan suing the Hong Kong government?,her human rights were breached.,0.60552758,0.790675819,1,0.105263158,0,0.891467333,0.906187832,1,0.4,0
"Some people waved plastic inflated flames, saying they symbolize what?",democracy.,0.592613697,0.68590647,0,0,0,0.511272788,0.733199835,0,0,0
Who was proud that Hong Kong still has brave people speaking out?,Leung Kwok-hung,0.14290601,0.09944959,1,0.058823529,1,0.403159797,0.530936241,1,0.055555556,1
What did radio host Christina Chan wear before waving it?,Tibetan snow lion flag,0.658361316,0.599397898,1,0.083333333,1,0.574757397,0.649859786,1,0.083333333,1
Which group did Jens Galschiøt lead?,The Color Orange democracy group,0.401006788,0.702224612,0,0,0,0.401006788,0.702224612,0,0,0
What did Galschiøt construct in Hong Kong in reference to the Tiananmen Square protests?,Pillar of Shame,0.656768203,0.698681712,1,0.142857143,0,0.391412377,0.196606934,0.666666667,0.333333333,0
Galschiøt and two fellow protesters were denied to entry to Hong Kong for what reason?,immigration reasons,0.444947928,0.551436543,1,0.090909091,0,0.490117103,0.516099334,1,0.285714286,0
Which American actress was questioned at the Hong Kong airport?,Mia Farrow,0.39520666,0.38492173,0.5,0.052631579,1,0.555447996,0.38492173,0.5,0.142857143,1
A legislator said that by allowing Farrow to enter Hong Kong while denying others was a violation to what policy?,"one country, two systems",0.630164802,0.839110494,1,0.058823529,0,0.685906768,0.820423484,1,0.125,0
What group did Jens Galschiøt lead?,The Color Orange,0.448934644,0.712385654,0,0,0,0.448934644,0.712385654,0,0,0
What structure did Jens Galschiøt build to monumentalize the Tianamen Square protests in 1989?,Pillar of Shame,0.756370187,0.784705758,0.333333333,0.043478261,0,0.891758323,0.809465885,0.333333333,0.166666667,0
Why was Jens Galschiøt made to leave Hong Kong?,immigration reasons,0.55712235,0.747595787,0.5,0.047619048,0,0.544507861,0.735537052,0.5,0.047619048,0
Which actress from America was initially held and then gave a speech about China and Sudan?,Mia Farrow,0.354220748,0.352636814,0.666666667,0.086956522,1,0.354220748,0.352636814,0.666666667,0.086956522,1
When did the torch visit Macao?,May-03,0.713380814,0.847407758,1,0.032258065,1,0.715695679,0.846810758,1,0.032258065,1
Where was the torch ceremony held in Macao?,Macau Fisherman's Wharf,0.703223228,0.700892389,1,0.032258065,1,0.703223228,0.700892389,1,0.032258065,1
How many torchbearers participated in Macao?,120,0.076052777,0.197195381,1,0.038461538,1,0.752026916,0.937344193,1,0.037037037,1
Who was the first torchbearer in Macao?,Leong Hong Man,0.586969018,0.844276786,1,0.066666667,1,0.586969018,0.844276786,1,0.064516129,1
A newspaper article criticized that there were not enough of what kind of person among the torchbearers?,athletes,0.575755358,0.787169874,0,0,0,0.575755358,0.787169874,0,0,0
When was the torch relay event held in Macao?,May-03,0.745382726,0.958940387,1,0.032258065,1,0.714668393,0.934763849,1,0.032258065,1
How many torchbearers carried the torch in Macao?,120,0.080298632,0.253328502,1,0.037037037,1,0.372230709,0.263796866,0,0,0
Who was the first person to carry the torch in Macao?,Leong Hong Man,0.636072099,0.85403955,1,0.064516129,1,0.030781411,0.133801728,1,0.064516129,1
Which casino tycoon participated in the torch relay event?,Stanley Ho.,0.599997163,0.633834481,0,0,1,0.25556314,0.155100405,0,0,0
Which publication was unhappy with the amount of non-athlete torchbearers?,Macao Daily News,0.20468539,0.222894728,0,0,1,0.20468539,0.222894728,0,0,1
A Macau citizen was arrested for posting a plea to disrupt the relay on what website?,cyberctm.com,0.126266301,0.29738304,1,0.055555556,0,0.094754338,0.269761562,1,0.055555556,0
"In addition to cyberctm.com, what other website was shut down for two days?",orchidbbs.com,0.36746496,0.642278135,0,0,0,0.381170034,0.533035874,0,0,0
Who was arrested on April 26 for posting an online message?,A Macau resident,0.546622634,0.562689602,1,0.058823529,1,0.500863135,0.176514551,1,0.142857143,1
Where was the message posted?,cyberctm.com,0.353965282,0.678787768,0,0,0,0.353965282,0.678787768,0,0,0
Who denied the shutdown was motivated by politics?,The head of the Bureau of Telecommunications Regulation,0.473985255,0.604067326,0,0,0,0.473985255,0.604067326,0,0,0
"After its April departure, when did the torch return to China?",May-04,0.773908019,0.888237596,1,0.083333333,1,0.716703176,0.902459145,0.5,0.142857143,0
What actor attended a torch celebration in China?,Jackie Chan,0.725143969,0.801264942,1,0.038461538,1,0.731075048,0.809895396,1,0.038461538,1
"When did the torch reach Sanya, Hainan?",May-04,0.660265684,0.913769484,1,0.076923077,1,0.231109768,0.148677751,1,0.076923077,1
When was the last time the torch had been in China?,April.,0.688876569,0.797298968,1,0.04,1,0.668340266,0.815584183,1,0.090909091,0
Who attended the celebrations?,IOC,0.449054718,0.644199133,0,0,0,0.495850503,0.590580583,0,0,0
Which actor also attended the celebrations?,Jackie Chan.,0.461117446,0.473755479,0,0,0,0.316857934,0.538596869,0,0,0
The Chinese coverage of torch relay events has been accused by Western reporters as being what?,partial and censored,0.682034612,0.679619074,1,0.133333333,0,0.562955856,0.810845137,0.5,0.25,0
"In turn, Chinese supporters have accused Western media of being what in their coverage?",biased.,0.758749306,0.798888206,1,0.133333333,0,0.729741454,0.812885046,1,0.333333333,0
Which French newspaper was accused of being biased by Chinese State press agency Xinhua?,Libération,0.499668777,0.609383464,0.666666667,0.105263158,0,0.393006265,0.059154131,0.333333333,0.2,0
What was under scrutiny?,media coverage,0.576276362,0.585349381,0,0,0,0.54853332,0.555644751,0,0,0
Coverage in China is reported to be partial and what?,censored,0.598770261,0.807151318,1,0.090909091,0,0.640853822,0.650790393,1,0.090909091,0
What organization interrupted the relay and was not broadcast by the Chinese media?,Reporters Without Borders,0.365910172,0.340671092,1,0.045454545,0,0.17266199,0.289957851,1,0.2,0
Chinese State Press said what French newspaper was biased?,Libération,0.660680115,0.631263196,0.5,0.052631579,0,0.740514517,0.764809966,0.5,0.052631579,0
The Chinese State Press said the French newspaper was supporting a handful of what?,saboteurs,0.101676427,0.207942054,0.5,0.058823529,0,0.101676427,0.207942054,0.5,0.058823529,0
What did the Chinese media focus on as far as human rights protesters?,the more disruptive protesters,0.60109067,0.579182804,1,0.1,0,0.630409956,0.815802217,1,0.166666667,0
Xinhua and CCTV focused on people who what?,condemned the protests,0.398619473,0.316144824,0.5,0.083333333,0,0.678004622,0.287348866,0,0,0
Which athlete was ignored by media for supporting the protesters?,Marie-José Pérec,0.117194965,0.16918157,0,0,1,0.117194965,0.16918157,0,0,1
What did Xinhua call protesters?,radicals,0.489698112,0.770957291,1,0.045454545,0,0.390503913,0.162656128,1,0.333333333,0
Which athlete showed support for the people protesting?,Marie-José Pérec,0.352222413,0.492064774,0,0,1,0.352222413,0.492064774,0,0,1
Which publication said that protesters were trampling human rights?,Xinhua,0.461510181,0.784359753,0,0,0,0.577072263,0.964603782,0,0,0
"Though several torchbearers withdrew from the torch relay, the official website for China stated that Indian torch participants vowed to run for what?",spirit of Olympics,0.119873174,0.280885398,0,0,0,0.573318124,0.782964349,0,0,0
What did Ayaan Ali Khan and Manavjit Singh Sandhu say should not be mixed?,sports and politics,0.592015207,0.292036295,0,0,0,0.620273471,0.396202058,0,0,0
"Though four withdrew, it was reported that Indian torchbearers vowed to what?",run for spirit of Olympics,0.406241685,0.280373275,0.5,0.066666667,0,0.43157953,0.244436473,0.5,0.066666667,0
Several torchbearers said what two things should not be combined?,sports and politics,0.420950532,0.565914273,1,0.071428571,0,0.393487692,0.565024853,1,0.071428571,0
Which United Kingdom newspaper published a Chinese ambassador's opinion that Western media had demonized China with torch coverage?,The Daily Telegraph,0.64558661,0.698509336,0.75,0.176470588,0,0.64558661,0.698509336,0.75,0.176470588,0
What French newspaper did the Chinese media accuse of bias?,Libération,0.174087346,0.084691726,1,0.105263158,0,0.765438855,0.718733311,0.5,0.166666667,0
Some Chinese have accused Western media of what in their reportings?,Western media bias.,0.784198523,0.813257217,1,0.125,0,0.830631256,0.77092886,1,0.333333333,0
Who was the Chinese ambassador to the U.K.?,Fu Ying,0.589725733,0.753546715,0.5,0.0625,0,0.519230366,0.811981618,0.5,0.0625,0
Which newspaper published these accusations?,The Daily Telegraph,0.538517177,0.737706423,0,0,0,0.176572651,0.061341815,0,0,0
What other newspaper was accused of bias?,Libération,0.66631484,0.556479692,0,0,0,0.671998501,0.698283613,0,0,0
 Who did Xinhua accuse of biased reporting on April 17?,CNN,0.215942323,0.177253827,1,0.083333333,1,0.351629138,0.177253827,0.5,0.1,1
Who was accused of bias on April 17 by Xinhua?,CNN,0.589363933,0.789555371,1,0.090909091,1,0.557203531,0.81970346,1,0.090909091,1
Who wanted CNN to apologize for its insult to Chinese people?,the Chinese government,0.715361178,0.855243325,1,0.166666667,1,0.72122407,0.870920956,1,0.166666667,1
What article did BBC put out about China just days earlier?,The challenges of reporting in China,0.686855078,0.785699248,0.666666667,0.105263158,1,0.690788269,0.76362586,0.666666667,0.105263158,1
Who stated that Chinese people could access the BBC news website after years of not being able to?,Paul Danahar,0.11134845,0.013509182,1,0.157894737,1,0.673964858,0.600965083,0.666666667,0.285714286,0
How many people gathered in protest at these two buildings?,"(1, 300)",0.345091224,0.401418954,0,0,0,0.496710837,0.693121791,0,0,0
Who commented that Chinese people can look at the BBC news site for the first time?,Paul Danahar,0.598964453,0.861094236,1,0.157894737,1,0.902292132,0.762424469,1,0.375,0
Where is BBC banned from reporting?,Tibet,0.644167662,0.792412519,1,0.052631579,1,0.644167662,0.792412519,1,0.052631579,1
"Who published ""Overseas Chinese rally against biased media coverage"" on April 20?",People's Daily,0.657919824,0.888738275,1,0.095238095,0,0.170947284,0.049983174,1,0.333333333,0
Which publication published a report about the Chinese rallying against media bias?,People's Daily,0.741863728,0.887234151,1,0.05,0,0.184386328,0.094551116,1,0.166666667,0
What was the Chinese government reported running on April 4?,an anti-CNN website,0.553927004,0.950287938,0.5,0.071428571,0,0.596771479,0.855276406,0.5,0.076923077,0
Who supposedly created the site?,a Beijing citizen.,0.111064956,0.147704959,0,0,1,0.111064956,0.147704959,0,0,1
Who takes credit for creating the site?,a Beijing citizen.,0.455202937,0.456959784,0,0,1,0.447081298,0.488363087,0,0,1
Who felt that the government was involved in the website?,foreign correspondents,0.631270349,0.465003431,0,0,0,0.610892177,0.481503248,0,0,0
How many attendants accompanied the flame during it's travels?,30,0.027424712,0.133033708,0,0,1,0.794376969,0.449436009,0,0,0
When were the 30 team members sworn in?,Aug-07,0.367685646,0.741107464,0,0,1,0.349386752,0.818811297,0,0,1
What were their official team outfits?,matching blue tracksuits,0.331853688,0.749484062,0,0,0,0.324018896,0.761028111,0,0,0
Which team member has his own fan following?,Second Right Brother,0.392416149,0.642630577,0,0,0,0.124061503,0.073207244,0,0,0
How many attendants were used from the People's Armed Police for the flame's entire journey?,30,0.112050667,0.147098005,0,0,0,0.597458363,0.841149092,0,0,1
When were these 30 sworn in?,Aug-07,0.15610525,0.276187748,1,0.055555556,0,0.203056395,0.224630535,1,0.055555556,0
What did these 30 attendants wear?,blue tracksuits,0.433589995,0.644940972,0,0,0,0.433589995,0.644940972,0,0,0
What is the attendant who has a large fan base called?,Second Right Brother,0.364903718,0.673595309,0,0,0,0.364903718,0.673595309,0,0,0
Which French company was boycotted?,Carrefour,0.7338112,0.643804908,1,0.066666667,0,0.682177424,0.590206027,1,0.066666667,0
Carrefour was boycotted because of which shareholder?,LVMH Group,0.380626261,0.160003349,1,0.071428571,0,0.548534691,0.3965666,1,0.071428571,0
Who was the LVMH Group accused of supporting?,the Dalai Lama,0.688413501,0.683944583,1,0.055555556,0,0.688413501,0.683944583,1,0.055555556,0
What was burned during these boycotts?,the French flag,0.721752226,0.682137609,1,0.071428571,1,0.721752226,0.682137609,1,0.071428571,1
Who was accused of helping the Dalai Lama?,LVMH Group,0.361989558,0.256946862,0,0,0,0.435914487,0.146948427,0,0,1
Boycotters accused France of being pro-seccessionist and what?,anti-Chinese racism.,0.487954795,0.733627558,0,0,1,0.487954795,0.733627558,0,0,1
"The Chinese government tried to tamper the boycott, trying to avoid a similar outcome to which protests in 2005?",anti-Japanese protests,0.558343589,0.9326756,0.5,0.058823529,0,0.781955302,0.847768605,0.5,0.166666667,0
Which newspaper urged citizens to protest peacefully?,People's Daily,0.464640081,0.379030824,0,0,0,0.464640081,0.379030824,0,0,0
Which website had mentions of the Carrefour boycott removed by the government?,Sohu.com,0.651420712,0.860758305,1,0.071428571,1,0.651420712,0.860758305,1,0.071428571,1
When did protests in front of Carrefour's stores occur in China?,May-01,0.707887411,0.743453801,1,0.083333333,0,0.789101243,0.630360126,1,0.083333333,0
The Chinese government did not want a repeat of what protests?,the anti-Japanese protests in 2005.,0.644967079,1,1,0.0625,0,0.402760565,0.681245685,1,0.25,0
Which newspaper asked the Chinese people to protest peacefully?,People's Daily,0.314096689,0.326258332,1,0.076923077,0,0.314096689,0.326258332,1,0.076923077,0
Who removed Carrefour boycott comments from some websites?,the Chinese government,0.172848135,0.22477895,1,0.071428571,1,0.647097945,0.761791348,1,0.166666667,0
What day did protests occur in front of Carrefour stores?,May 1.,0.55404675,0.745347559,1,0.066666667,0,0.934761405,0.672042966,1,0.1,1
Who was the mayor of Nagano?,Shoichi Washizawa,0.372102559,0.282113433,1,0.076923077,1,0.372102559,0.282113433,1,0.076923077,1
How did Washizawa refer to the city having the torch relay?,great nuisance,0.681342602,0.802531123,0,0,0,0.62980783,0.876028299,0,0,0
What was vandalized after a relay event was cancelled there?,a major Buddhist temple,0.58984375,0.836910844,0,0,0,0.390339702,0.150805265,0,0,0
Who was the mayor of Nagano?,Shoichi Washizawa,0.372102559,0.282113433,1,0.076923077,1,0.372102559,0.282113433,1,0.076923077,1
What did he call the opportunity for Nagano to host the torch event?,great nuisance,0.477800995,0.635505795,1,0.076923077,0,0.225791335,0.11793264,1,0.076923077,0
Where was the inital opening ceremony to be held in Nagano?,a major Buddhist temple,0.72705853,0.689016938,1,0.0625,1,0.712994039,0.691969991,1,0.0625,1
In what is the torch flame kept lit when the torch must be off?,lanterns.,0.616150498,0.802524805,0,0,0,0.381818205,0.774358273,0,0,0
"The torch is put out at night, on aircraft, during storms and what else?",during protests,0.562285006,0.702186823,1,0.045454545,0,0.606750488,0.9005934,1,0.045454545,0
Who was Michael Mak Kwok-fung?,Hong Kong legislator,0.642005444,0.746765792,0,0,1,0.807458699,0.75419569,1,0.142857143,0
Which athlete did the official website call an angel?,Jin Jing,0.743754268,0.364714026,0,0,1,0.716912866,0.454119414,0,0,1
Which media outlets gave Jin Jing little notice?,Western media,0.558362782,0.670324922,1,0.047619048,0,0.018238004,0.184280843,0,0,0
How many additional teams will help with the Mainland China route?,Two,0.514834821,0.484504223,0,0,0,0.711978316,0.409970582,0,0,0
How many members are on each of these two teams?,40,0.297417819,0.769998729,1,0.055555556,1,0.074188113,0.170262203,1,0.055555556,1
"Along with pop, soul, rhythm and blues, quiet storm, and rock, what musical style influenced adult contemporary?",easy listening,-0.005168987,0.060474627,0,0,0,-0.022834172,0.058560941,0,0,0
What was the prevailing style of adult contemporary music in the 1970s?,soft rock,0.754064023,0.891874909,0,0,0,0.599240124,0.812723517,0,0,0
What type of adult contemporary music was popular in the 1960s?,vocal,0.744829655,0.898844242,1,0.125,0,0.672069967,0.964361072,0,0,0
What does the acronym AC stand for?,Adult contemporary,0.544026494,0.79855442,1,0.090909091,0,0.711435676,0.79855442,1,0.142857143,0
"Along with easy listening, adult contemporary is a modern day continuation of what style of music?",soft rock,0.802524447,0.830994189,0,0,0,0.879190087,0.856441915,0,0,0
"Along with harmonies, what aspect of music is emphasized in adult contemporary?",melody,0.76712358,0.83553803,0,0,0,0.905531406,0.827587783,0,0,0
What is the typical structure of an adult contemporary song?,verse–chorus structure,0.606518984,0.808136702,0,0,0,0.759198487,0.766946733,0,0,0
With what broader style of music does adult contemporary share its structure?,pop music,0.706592381,0.861937642,0,0,0,0.757421851,0.800351024,0,0,0
"Along with being pleasurable, what trait makes adult contemporary appropriate for background music?",inoffensive,0.928116679,0.64134264,0,0,0,0.934192002,0.624514341,0,0,0
What type of song is frequently seen in the adult contemporary genre?,romantic sentimental ballads,0.804259777,0.830761313,0,0,0,0.676743031,0.71474427,0,0,0
"Along with synthesizers, what electronic instruments sometimes appear in modern adult contemporary?",drum machines,0.535663664,0.878332853,0,0,0,0.555183411,0.809724569,0,0,0
What general type of instruments tend to be used in adult contemporary?,acoustic,0.639361382,0.815693974,0,0,1,0.692088723,0.800806344,0,0,1
What electric instrument is often seen in adult contemporary?,bass guitar,0.602196574,0.814570963,0,0,0,0.602196574,0.814570963,0,0,0
"Along with being faint, what characteristic is usually present in electric guitars used in adult contemporary?",high-pitched,0.661986053,0.881587267,0,0,0,0.661986053,0.881587267,0,0,0
What age group does adult contemporary radio typically focus on?,25–44,0.747800112,0.911436081,0,0,0,0.747800112,0.911436081,0,0,0
"Along with teen pop, dance and hard rock, what form of music is typically not heard on AC radio?",hip hop,0.295817375,0.417290628,1,0.090909091,0,0.295817375,0.417290628,1,0.090909091,0
When did advertisers begin to focus on the adult contemporary age demographic?,1960s,0.568390965,0.785303116,0,0,0,0.387796849,0.398367971,0,0,0
